"ticker","DES"
"CY113415 Curncy","NA Europe Fin Sub IG 2Y CDS"
"CY113555 Curncy","NA Europe Health IG 2Y CDSB"
"CY113625 Curncy","NA Europe Industrials IG 2Y"
"CY113100 Curncy","NA Europe Materials HY 2Y C"
"CY113065 Curncy","NA Europe Materials IG 2Y C"
"CY113730 Curncy","NA Europe Tech HY 2Y CDSB C"
"CY113695 Curncy","NA Europe Tech IG 2Y CDSB C"
"CY113765 Curncy","NA Europe Util IG 2Y CDSB C"
"CY112330 Curncy","NA Japan Cons Disc IG 2Y CD"
"CY112365 Curncy","NA Japan Cons Stap IG 2Y CD"
"CY112470 Curncy","NA Japan Fin Sr IG 2Y CDSB"
"CY112435 Curncy","NA Japan Fin Sub IG 2Y CDSB"
"CY112540 Curncy","NA Japan Industrials IG 2Y"
"CY112260 Curncy","NA Japan Materials IG 2Y CD"
"CY112575 Curncy","NA Japan Tech IG 2Y CDSB Co"
"CY112610 Curncy","NA Japan Util IG 2Y CDSB Co"
"CY111215 Curncy","NA America Comm HY 3Y CDSB"
"CY111180 Curncy","NA America Comm IG 3Y CDSB"
"CY111285 Curncy","NA America Cons Disc HY 3Y"
"CY111250 Curncy","NA America Cons Disc IG 3Y"
"CY111355 Curncy","NA America Cons Stap HY 3Y"
"CY111320 Curncy","NA America Cons Stap IG 3Y"
"CY111425 Curncy","NA America Energy HY 3Y CDS"
"CY111390 Curncy","NA America Energy IG 3Y CDS"
"CY111565 Curncy","NA America Fin Sr HY 3Y CDS"
"CY111530 Curncy","NA America Fin Sr IG 3Y CDS"
"CY111460 Curncy","NA America Fin Sub IG 3Y CD"
"CY111635 Curncy","NA America Health HY 3Y CDS"
"CY111600 Curncy","NA America Health IG 3Y CDS"
"CY111670 Curncy","NA America Industrials IG 3"
"CY111145 Curncy","NA America Materials HY 3Y"
"CY111110 Curncy","NA America Materials IG 3Y"
"CY111775 Curncy","NA America Tech HY 3Y CDSB"
"CY111740 Curncy","NA America Tech IG 3Y CDSB"
"CY111845 Curncy","NA America Util HY 3Y CDSB"
"CY111810 Curncy","NA America Util IG 3Y CDSB"
"CY111915 Curncy","NA Asia EXJP Comm IG 3Y CDS"
"CY111950 Curncy","NA Asia EXJP Cons Disc IG 3"
"CY112020 Curncy","NA Asia EXJP Energy IG 3Y C"
"CY112090 Curncy","NA Asia EXJP Fin Sr IG 3Y C"
"CY112055 Curncy","NA Asia EXJP Fin Sub IG 3Y"
"CY113175 Curncy","NA Europe Comm HY 3Y CDSB C"
"CY113140 Curncy","NA Europe Comm IG 3Y CDSB C"
"CY113245 Curncy","NA Europe Cons Disc HY 3Y C"
"CY113210 Curncy","NA Europe Cons Disc IG 3Y C"
"CY113280 Curncy","NA Europe Cons Stap IG 3Y C"
"CY113350 Curncy","NA Europe Energy IG 3Y CDSB"
"CY113525 Curncy","NA Europe Fin Sr HY 3Y CDSB"
"CY113490 Curncy","NA Europe Fin Sr IG 3Y CDSB"
"CY113455 Curncy","NA Europe Fin Sub HY 3Y CDS"
"CY113420 Curncy","NA Europe Fin Sub IG 3Y CDS"
"CY113560 Curncy","NA Europe Health IG 3Y CDSB"
"CY113630 Curncy","NA Europe Industrials IG 3Y"
"CY113105 Curncy","NA Europe Materials HY 3Y C"
"CY113070 Curncy","NA Europe Materials IG 3Y C"
"CY113735 Curncy","NA Europe Tech HY 3Y CDSB C"
"CY113700 Curncy","NA Europe Tech IG 3Y CDSB C"
"CY113770 Curncy","NA Europe Util IG 3Y CDSB C"
"CY112335 Curncy","NA Japan Cons Disc IG 3Y CD"
"CY112370 Curncy","NA Japan Cons Stap IG 3Y CD"
"CY112475 Curncy","NA Japan Fin Sr IG 3Y CDSB"
"CY112440 Curncy","NA Japan Fin Sub IG 3Y CDSB"
"CY112545 Curncy","NA Japan Industrials IG 3Y"
"CY112265 Curncy","NA Japan Materials IG 3Y CD"
"CY112580 Curncy","NA Japan Tech IG 3Y CDSB Co"
"CY112615 Curncy","NA Japan Util IG 3Y CDSB Co"
"CY111220 Curncy","NA America Comm HY 4Y CDSB"
"CY111185 Curncy","NA America Comm IG 4Y CDSB"
"CY111290 Curncy","NA America Cons Disc HY 4Y"
"CY111255 Curncy","NA America Cons Disc IG 4Y"
"CY111360 Curncy","NA America Cons Stap HY 4Y"
"CY111325 Curncy","NA America Cons Stap IG 4Y"
"CY111430 Curncy","NA America Energy HY 4Y CDS"
"CY111395 Curncy","NA America Energy IG 4Y CDS"
"CY111570 Curncy","NA America Fin Sr HY 4Y CDS"
"CY111535 Curncy","NA America Fin Sr IG 4Y CDS"
"CY111465 Curncy","NA America Fin Sub IG 4Y CD"
"CY111640 Curncy","NA America Health HY 4Y CDS"
"CY111605 Curncy","NA America Health IG 4Y CDS"
"CY111675 Curncy","NA America Industrials IG 4"
"CY111150 Curncy","NA America Materials HY 4Y"
"CY111115 Curncy","NA America Materials IG 4Y"
"CY111780 Curncy","NA America Tech HY 4Y CDSB"
"CY111745 Curncy","NA America Tech IG 4Y CDSB"
"CY111850 Curncy","NA America Util HY 4Y CDSB"
"CY111815 Curncy","NA America Util IG 4Y CDSB"
"CY111920 Curncy","NA Asia EXJP Comm IG 4Y CDS"
"CY111955 Curncy","NA Asia EXJP Cons Disc IG 4"
"CY112025 Curncy","NA Asia EXJP Energy IG 4Y C"
"CY112095 Curncy","NA Asia EXJP Fin Sr IG 4Y C"
"CY112060 Curncy","NA Asia EXJP Fin Sub IG 4Y"
"CY113180 Curncy","NA Europe Comm HY 4Y CDSB C"
"CY113145 Curncy","NA Europe Comm IG 4Y CDSB C"
"CY113250 Curncy","NA Europe Cons Disc HY 4Y C"
"CY113215 Curncy","NA Europe Cons Disc IG 4Y C"
"CY113285 Curncy","NA Europe Cons Stap IG 4Y C"
"CY113355 Curncy","NA Europe Energy IG 4Y CDSB"
"CY113530 Curncy","NA Europe Fin Sr HY 4Y CDSB"
"CY113495 Curncy","NA Europe Fin Sr IG 4Y CDSB"
"CY113460 Curncy","NA Europe Fin Sub HY 4Y CDS"
"CY113425 Curncy","NA Europe Fin Sub IG 4Y CDS"
"CY113565 Curncy","NA Europe Health IG 4Y CDSB"
"CY113635 Curncy","NA Europe Industrials IG 4Y"
"CY113110 Curncy","NA Europe Materials HY 4Y C"
"CY113075 Curncy","NA Europe Materials IG 4Y C"
"CY113740 Curncy","NA Europe Tech HY 4Y CDSB C"
"CY113705 Curncy","NA Europe Tech IG 4Y CDSB C"
"CY113775 Curncy","NA Europe Util IG 4Y CDSB C"
"CY112340 Curncy","NA Japan Cons Disc IG 4Y CD"
"CY112375 Curncy","NA Japan Cons Stap IG 4Y CD"
"CY112480 Curncy","NA Japan Fin Sr IG 4Y CDSB"
