DES,ticker
GRAIN - CBOT SOYBEAN MEAL Managed Money Short,CFFDIMMS Index
GRAIN - CBOT SOYBEAN MEAL Producer Long,CFFDIPML Index
GRAIN - CBOT SOYBEAN MEAL Producer Short,CFFDIPMS Index
GRAIN - CBOT SOYBEAN MEAL Swap Dealers Long,CFFDISWL Index
GRAIN - CBOT SOYBEAN MEAL Swap Dealers Short,CFFDISWS Index
GRAIN - CBOT SOYBEAN MEAL Swap Dealers Spreading,CFFDISWD Index
GRAIN - CBOT SOYBEAN MEAL Managed Money Spread,CFFDIMMD Index
GRAIN - CBOT SOYBEAN MEAL Other Reportables Long,CFFDIORL Index
GRAIN - CBOT SOYBEAN MEAL Other Reportables Short,CFFDIORS Index
GRAIN - CBOT SOYBEAN MEAL Other Reportables Spreading,CFFDIORD Index
GRAIN - CBOT SOYBEAN MEAL Non Commercial Net Position,CBT3SNCN Index
LIVESTOCK - CME FEEDER CATTLE 1st Contract Price,FC1 Comdty
LIVESTOCK - CME FEEDER CATTLE Non Comercial Long,CME1FNCL Index
LIVESTOCK - CME FEEDER CATTLE Non Comercial Short,CME1FNCS Index
LIVESTOCK - CME FEEDER CATTLE Non Comercial Spreading,CME1FNCP Index
LIVESTOCK - CME FEEDER CATTLE Commercial Long,CME1FCOL Index
LIVESTOCK - CME FEEDER CATTLE Commercial Short,CME1FCOS Index
LIVESTOCK - CME FEEDER CATTLE Total Long,CME1FTLL Index
LIVESTOCK - CME FEEDER CATTLE Total Short,CME1FTLS Index
LIVESTOCK - CME FEEDER CATTLE Open Interest,CME1FOIN Index
LIVESTOCK - CME FEEDER CATTLE Non Reportable Long,CME1FNRL Index
LIVESTOCK - CME FEEDER CATTLE Non Reportable Short,CME1FNRS Index
LIVESTOCK - CME FEEDER CATTLE Managed Money Long,CFFDFMML Index
LIVESTOCK - CME FEEDER CATTLE Managed Money Short,CFFDFMMS Index
LIVESTOCK - CME FEEDER CATTLE Producer Long,CFFDFPML Index
LIVESTOCK - CME FEEDER CATTLE Producer Short,CFFDFPMS Index
LIVESTOCK - CME FEEDER CATTLE Swap Dealers Long,CFFDFSWL Index
LIVESTOCK - CME FEEDER CATTLE Swap Dealers Short,CFFDFSWS Index
LIVESTOCK - CME FEEDER CATTLE Swap Dealers Spreading,CFFDFSWD Index
LIVESTOCK - CME FEEDER CATTLE Managed Money Spread,CFFDFMMD Index
LIVESTOCK - CME FEEDER CATTLE Other Reportables Long,CFFDFORL Index
LIVESTOCK - CME FEEDER CATTLE Other Reportables Short,CFFDFORS Index
